measure_id,oid,measure_name,value,value_label,measure_date,device_name,event_id,event_variable,event_operator,event_reference_value
213366488,0,networkAvailability,1.0,1,2024-07-15 00:00:31,Lammia - M2O - Elenos,96244,environmentalTemp,higher,40.0
213366489,1.3.6.1.4.1.31946.4.2.6.10.60.0,generalStatus.0,4.0,4,2024-07-15 00:00:31,Lammia - M2O - Elenos,96244,environmentalTemp,higher,40.0
213366490,1.3.6.1.4.1.31946.4.2.6.10.5.0,plus5v.0,4.96,4.96,2024-07-15 00:00:31,Lammia - M2O - Elenos,96244,environmentalTemp,higher,40.0
213366491,1.3.6.1.4.1.31946.4.2.6.10.6.0,plus12v.0,12.75,12.75,2024-07-15 00:00:31,Lammia - M2O - Elenos,96244,environmentalTemp,higher,40.0
213366492,1.3.6.1.4.1.31946.4.2.6.10.7.0,minus12.0,12.22,12.22,2024-07-15 00:00:31,Lammia - M2O - Elenos,96244,environmentalTemp,higher,40.0
213366493,1.3.6.1.4.1.31946.4.2.6.10.9.0,psuVoltage.0,30.2,30.2,2024-07-15 00:00:31,Lammia - M2O - Elenos,96244,environmentalTemp,higher,40.0
213366494,1.3.6.1.4.1.31946.4.2.6.10.10.0,psuCurrent.0,64.1,64.1,2024-07-15 00:00:31,Lammia - M2O - Elenos,96244,environmentalTemp,higher,40.0
213366495,1.3.6.1.4.1.31946.4.2.6.10.13.0,standbyStatus.0,1.0,1,2024-07-15 00:00:31,Lammia - M2O - Elenos,96244,environmentalTemp,higher,40.0
213366496,1.3.6.1.4.1.31946.4.2.6.10.14.0,txFrequency.0,99.9,99.9,2024-07-15 00:00:31,Lammia - M2O - Elenos,96244,environmentalTemp,higher,40.0
213366814,0,networkAvailability,1.0,1,2024-07-15 00:00:41,Lammia - M2O - Elenos,96244,environmentalTemp,higher,40.0
213367045,0,networkAvailability,1.0,1,2024-07-15 00:00:50,Lammia - M2O - Elenos,96244,environmentalTemp,higher,40.0
213367360,0,networkAvailability,1.0,1,2024-07-15 00:01:00,Lammia - M2O - Elenos,96244,environmentalTemp,higher,40.0
213367361,1.3.6.1.4.1.31946.4.2.6.1.0,alarmResetCommand.0,1.0,1,2024-07-15 00:01:00,Lammia - M2O - Elenos,96244,environmentalTemp,higher,40.0
213367362,1.3.6.1.4.1.31946.4.2.6.4.0,maxTargetPower.0,5250.0,5250,2024-07-15 00:01:00,Lammia - M2O - Elenos,96244,environmentalTemp,higher,40.0
213367363,1.3.6.1.4.1.31946.4.2.6.10.49.0,maxTemperature.0,48.2,48.2,2024-07-15 00:01:00,Lammia - M2O - Elenos,96244,environmentalTemp,higher,40.0
213367364,1.3.6.1.4.1.31946.4.2.6.10.4.0,local.0,1.0,1,2024-07-15 00:01:00,Lammia - M2O - Elenos,96244,environmentalTemp,higher,40.0
213367365,1.3.6.1.4.1.31946.4.2.6.10.45.0,environmentalTemp.0,30.5,30.5,2024-07-15 00:01:00,Lammia - M2O - Elenos,96244,environmentalTemp,higher,40.0
213367366,1.3.6.1.4.1.31946.4.2.6.10.15.0,txMpxPeak.0,77.7,77.7,2024-07-15 00:01:00,Lammia - M2O - Elenos,96244,environmentalTemp,higher,40.0
213367367,1.3.6.1.4.1.31946.4.2.6.10.8.0,rfEfficiency.0,67.7,67.7,2024-07-15 00:01:00,Lammia - M2O - Elenos,96244,environmentalTemp,higher,40.0
213367368,1.3.6.1.4.1.31946.4.2.6.10.2.0,reflectedPower.0,0.0,0,2024-07-15 00:01:00,Lammia - M2O - Elenos,96244,environmentalTemp,higher,40.0
213367369,1.3.6.1.4.1.31946.4.2.6.10.12.0,onAirStatus.0,2.0,on_air (2),2024-07-15 00:01:00,Lammia - M2O - Elenos,96244,environmentalTemp,higher,40.0
213367370,1.3.6.1.4.1.31946.4.2.6.10.1.0,forwardPower.0,1250.0,1250.0,2024-07-15 00:01:00,Lammia - M2O - Elenos,96244,environmentalTemp,higher,40.0
213373585,0,networkAvailability,1.0,1,2024-07-15 00:07:05,Lammia - M2O - Elenos,96244,environmentalTemp,higher,40.0
213373586,1.3.6.1.4.1.31946.4.2.6.10.60.0,generalStatus.0,4.0,4,2024-07-15 00:07:05,Lammia - M2O - Elenos,96244,environmentalTemp,higher,40.0
213373587,1.3.6.1.4.1.31946.4.2.6.10.5.0,plus5v.0,4.96,4.96,2024-07-15 00:07:05,Lammia - M2O - Elenos,96244,environmentalTemp,higher,40.0
