measure_id,oid,measure_name,value,value_label,measure_date,device_name,event_id,event_variable,event_operator,event_reference_value
194017840,0,networkAvailability,1.0,1,2024-07-03 00:05:31,Postiglione - Dab Italia - Syes,94281,ForwardPower,lower,50.0
194017841,1.3.6.1.4.1.10066.2.100.1.7.5.0,txMER.0,0.0,0.0,2024-07-03 00:05:31,Postiglione - Dab Italia - Syes,94281,ForwardPower,lower,50.0
194017842,1.3.6.1.4.1.10066.2.100.1.7.8.0,txEfficiency.0,17.0,17,2024-07-03 00:05:31,Postiglione - Dab Italia - Syes,94281,ForwardPower,lower,50.0
194018013,0,networkAvailability,1.0,1,2024-07-03 00:05:37,Postiglione - Dab Italia - Syes,94281,ForwardPower,lower,50.0
194018014,1.3.6.1.4.1.10066.2.100.1.5.1.0,nominalPower.0,208.93,208.93,2024-07-03 00:05:37,Postiglione - Dab Italia - Syes,94281,ForwardPower,lower,50.0
194018015,1.3.6.1.4.1.10066.2.100.1.7.1.0,txForwardPower.0,204.173,204.173,2024-07-03 00:05:37,Postiglione - Dab Italia - Syes,94281,ForwardPower,lower,50.0
194018016,1.3.6.1.4.1.10066.2.100.1.7.2.0,txReflectedPower.0,0.0,0.0,2024-07-03 00:05:37,Postiglione - Dab Italia - Syes,94281,ForwardPower,lower,50.0
194018017,1.3.6.1.4.1.10066.2.100.1.7.4.0,txEnviromentTemperature.0,53.0,53,2024-07-03 00:05:37,Postiglione - Dab Italia - Syes,94281,ForwardPower,lower,50.0
194018018,1.3.6.1.4.1.10066.2.100.1.5.2.0,channelFreq.0,215072.0,215072.0,2024-07-03 00:05:37,Postiglione - Dab Italia - Syes,94281,ForwardPower,lower,50.0
194024980,0,networkAvailability,1.0,1,2024-07-03 00:12:01,Postiglione - Dab Italia - Syes,94281,ForwardPower,lower,50.0
194024981,1.3.6.1.4.1.10066.2.100.1.7.5.0,txMER.0,0.0,0.0,2024-07-03 00:12:01,Postiglione - Dab Italia - Syes,94281,ForwardPower,lower,50.0
194024982,1.3.6.1.4.1.10066.2.100.1.7.8.0,txEfficiency.0,18.0,18,2024-07-03 00:12:01,Postiglione - Dab Italia - Syes,94281,ForwardPower,lower,50.0
194025147,0,networkAvailability,1.0,1,2024-07-03 00:12:06,Postiglione - Dab Italia - Syes,94281,ForwardPower,lower,50.0
194025148,1.3.6.1.4.1.10066.2.100.1.5.1.0,nominalPower.0,208.93,208.93,2024-07-03 00:12:06,Postiglione - Dab Italia - Syes,94281,ForwardPower,lower,50.0
194025149,1.3.6.1.4.1.10066.2.100.1.7.1.0,txForwardPower.0,208.929,208.929,2024-07-03 00:12:06,Postiglione - Dab Italia - Syes,94281,ForwardPower,lower,50.0
194025150,1.3.6.1.4.1.10066.2.100.1.7.2.0,txReflectedPower.0,0.0,0.0,2024-07-03 00:12:06,Postiglione - Dab Italia - Syes,94281,ForwardPower,lower,50.0
194025151,1.3.6.1.4.1.10066.2.100.1.7.4.0,txEnviromentTemperature.0,52.0,52,2024-07-03 00:12:06,Postiglione - Dab Italia - Syes,94281,ForwardPower,lower,50.0
