measure_id,oid,measure_name,value,value_label,measure_date,device_name,event_id,event_variable,event_operator,event_reference_value
194015037,0,networkAvailability,1.0,1,2024-07-03 00:01:54,S.Angelo - Seritel Digitale - Itelco ALPAN,94298,itmex2dvbtOutputHpaPowerForward,lower,50.0
194015038,1.3.6.1.4.1.21138.34.4.1017.0,itmex2dvbtOutputHpaStatus9Param.0,51.0,51,2024-07-03 00:01:54,S.Angelo - Seritel Digitale - Itelco ALPAN,94298,itmex2dvbtOutputHpaPowerForward,lower,50.0
194015040,1.3.6.1.4.1.21138.34.4.1035.0,itmex2dvbtOutputHpaAlarm3Status.0,0.0,ok (0),2024-07-03 00:01:54,S.Angelo - Seritel Digitale - Itelco ALPAN,94298,itmex2dvbtOutputHpaPowerForward,lower,50.0
194015041,1.3.6.1.4.1.21138.34.4.1037.0,itmex2dvbtOutputHpaAlarm4Status.0,0.0,ok (0),2024-07-03 00:01:54,S.Angelo - Seritel Digitale - Itelco ALPAN,94298,itmex2dvbtOutputHpaPowerForward,lower,50.0
194015042,1.3.6.1.4.1.21138.34.4.1039.0,itmex2dvbtOutputHpaAlarm5Status.0,0.0,ok (0),2024-07-03 00:01:54,S.Angelo - Seritel Digitale - Itelco ALPAN,94298,itmex2dvbtOutputHpaPowerForward,lower,50.0
194015043,1.3.6.1.4.1.21138.34.4.1041.0,itmex2dvbtOutputHpaAlarm6Status.0,0.0,ok (0),2024-07-03 00:01:54,S.Angelo - Seritel Digitale - Itelco ALPAN,94298,itmex2dvbtOutputHpaPowerForward,lower,50.0
194015044,1.3.6.1.4.1.21138.34.4.1043.0,itmex2dvbtOutputHpaAlarm7Status.0,0.0,ok (0),2024-07-03 00:01:54,S.Angelo - Seritel Digitale - Itelco ALPAN,94298,itmex2dvbtOutputHpaPowerForward,lower,50.0
194015045,1.3.6.1.4.1.21138.34.4.1045.0,itmex2dvbtOutputHpaAlarm8Status.0,0.0,ok (0),2024-07-03 00:01:54,S.Angelo - Seritel Digitale - Itelco ALPAN,94298,itmex2dvbtOutputHpaPowerForward,lower,50.0
194015046,1.3.6.1.4.1.21138.34.4.1047.0,itmex2dvbtOutputHpaAlarm9Status.0,0.0,ok (0),2024-07-03 00:01:54,S.Angelo - Seritel Digitale - Itelco ALPAN,94298,itmex2dvbtOutputHpaPowerForward,lower,50.0
194015047,1.3.6.1.4.1.21138.34.4.1049.0,itmex2dvbtOutputHpaAlarm10Status.0,0.0,ok (0),2024-07-03 00:01:54,S.Angelo - Seritel Digitale - Itelco ALPAN,94298,itmex2dvbtOutputHpaPowerForward,lower,50.0
